Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Theft,Twittered,7,False
Tetanoid,Thenadays,6,False
Thessalian,Taverning,8,False
Tetragynian,Tetrakishexahedron,11,False
Tartrate,Theine,6,False
Toluylene,Thermochemistry,13,False
Trend,Taverner,5,False
Thermochemic,Tableware,10,False
Transmew,Tracheata,6,False
Transmission,Triding,8,False
Terra,Tas,4,False
Tories,Tamability,8,False
Theoretics,Tigrine,7,False
Tincture,Transumpt,7,False
Trestletree,Tali,9,False
Turn-sick,Transgressive,9,False
Truths,Thowl,5,False
Tom-tom,Tobogganer,8,False
Tea,Turned,4,False
Theses,Tributary,8,False
Tapioca,Teachableness,11,False
Teaspoon,Tidy,7,False
Tinkering,Tobacconist,9,False
Tugan,Trilateral,8,False
Twenty-fourmo,Trull,11,False
Transvasate,Taurocholate,8,False
Tanglingly,Toreutic,9,False
Thirling,Tachygraphical,10,False
Terreous,Tauromachy,8,False
Tribunitian,Tailzie,8,False
Theologist,Top-drain,8,False
Tommy,Tribalism,8,False
Terrel,Tush,5,False
Theine,Teraconic,7,False
Tendency,Transpassable,11,False
Trochaic,traced,6,False
Tangle,Telotrochal,10,False
Tingeing,Tubercle,7,False
Tyfoon,Torgoch,5,False
Tussock,Triflorous,8,False
Terse,Theriotomy,7,False
Teewit,Tuberculous,9,False
Terminated,Tomentum,6,False
Taskwork,Twittering,8,False
Tam-tam,Torpescence,10,False
Target,Trafficker,7,False
Tantivy,Traversing,7,False
Trucked,Talbot,6,False
Thomaean,Tabbinet,7,False
Tomboy,Tincal,5,False
Treeful,Teetotaler,7,False
Tangalung,Typhomania,8,False
Thousandfold,Taleful,8,False
Thistle,Tided,5,False
Trainable,Tredille,5,False
Ternion,Thus,6,False
Trillion,Typical,7,False
Tiara,Tetradon,5,False
Territory,Tettered,6,False
Term,Tricostate,9,False
Thar,Trirhomboidal,10,False
Tunk,Tilth,4,False
Tempera,Thyrohyoid,9,False
Teelseed,Transmit,6,False
Tympano-,Terraced,6,False
Teachable,Tampion,7,False
Thrumming,Tremolite,6,False
Toast,Topman,4,False
Tricae,Therial,4,False
Tritheism,Triquetrous,7,False
Thrack,Tamil,5,False
Tetravalence,Togidres,10,False
Tripersonalist,Trephined,10,False
Tutelar,Tamburin,7,False
Ted,Tenioid,4,False
Terpinol,Typhomalarial,11,False
Tschakmeck,Tellurism,9,False
Trigram,To-day,5,False
Taciturn,Tetrandrian,8,False
Trimethyl,Thysanurous,10,False
Tentful,Tartramate,8,False
Thumper,Thecaphore,6,False
Tonguefish,Trichiuroid,9,False
Tamine,Transnatation,10,False
Top-tool,Tithonometer,10,False
Tractoration,Timeling,10,False
Thecodont,Tapoa tafa,9,False
Toponomy,Transmogrification,16,False
Tant,Trophi,5,False
Trijugous,Tegmina,8,False
Tot,Tritheistical,11,False
Trist,Tetragynous,9,False
Transpicuous,Trionyx,9,False
Traduce,Tarpon,5,False
Tenthmeter,Threadiness,9,False
Typhon,Tumbledung,8,False
Tridiapason,Teutones,9,False
Thine,Throatband,7,False
Trossers,Thaumaturgics,10,False
Tartuffish,Triarchies,8,False
Trifler,Thyrohyal,7,False
Troglodytes,Turtle-shell,9,False
Transmigrator,Turnip-shell,11,False
Tabulated,Tidytips,8,False
Tacit,Towardly,6,False
tooled,Transition,10,False
Tarrying,Theogonic,7,False
Temperateness,Terminalia,10,False
Transitoriness,Top-tackle,11,False
Tusk,Tedded,5,False
